"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0xabe401d59b385eccfb184b11b211a7cb9fab06b8607be1745544817871baa4b3","4269355","1505302390","9/13/2017 11:33:10 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","11998.9"
"0xf42320f74b8ad08adcd6484c5a59685056045dfffa6a76ec92c292b68754151c","4269034","1505294833","9/13/2017 9:27:13 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","119697"
"0x666d7daa9cbcc433ed51072f64bd6637af1b96c5820f85f97a220d6d694748bf","4262770","1505143167","9/11/2017 3:19:27 PM","0xd120b30f14b903363114f585b9be2d60f3a22c62","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","2749.9"
"0x525622de64371ebb97dcbb28cc91ec7ce59a5a456f51fc06d5cdae17b83ae33c","4260764","1505094318","9/11/2017 1:45:18 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","13462.99"
"0x3021e968f690ee12044030531e3d0422332aceeab516716258c923e36197b233","4257971","1505026898","9/10/2017 7:01:38 AM","0x4a423ca6ab6b02822f7c62af82fd0267ed55521f","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","28000"
"0xabc1f81faa3a81c718226e9e9b11d01abfc4bf718d101abfdfbc92018302086e","4257432","1505014204","9/10/2017 3:30:04 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","5534.26"
"0x8e03b0aa50a0c00d4aa40091595a36b7061b9388396d0d9e55203aef756163d2","4257332","1505011860","9/10/2017 2:51:00 AM","0x331b2160904ff5c6c6492daf3c29e53328c59414","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","11824.1248"
"0xd97f1835e51cc693a1a0d22141823625ff3cfaee1317db18bc6315070e3c9246","4255099","1504957162","9/9/2017 11:39:22 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","12886.59"
"0x47f74f17f3ea828bd3879e679f62faa462a71a9347dfec79ae30cad86f2f16c9","4254597","1504944783","9/9/2017 8:13:03 AM","0x28df52c7a0fc8e519c4f81417365809117608261","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","5527.35803"
"0x64835732d36d27c1887b5a89c15d21cefd796e8f23679dfdf7dacb7df00e58bd","4253831","1504925989","9/9/2017 2:59:49 AM","0x4da321294bd08db718d88384f8ce489f5e5e084a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","30448.32"
"0x4fb4bae3a4daf6f242633e7ad0dc19a06b4c8202195f2fd62e2b9f6293eb8f5a","4251524","1504870737","9/8/2017 11:38:57 AM","0x84e991f74de5250d3871e71612392ff0d1940660","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","12375"
"0xf7ee4e5f231ef9deba51ea3d2f4f1a2a1f20afd7a5def767e6bae5cf462a336d","4250822","1504853519","9/8/2017 6:51:59 AM","0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","13925.1158"
"0x8430c317eca258656e57a4770b43fee84b6c07eab69461726dfffcd738cdcdbb","4250719","1504851127","9/8/2017 6:12:07 AM","0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","27498"
"0x49e6948c69d12ec6184eb656d91f29e2073e22ebf541bdaa53552a3bc58db9b4","4250608","1504848895","9/8/2017 5:34:55 AM","0x12d8ab4dda9fbeea91886a51f87d4b80c3148066","0xc7e217cec00ebef8711935a33b6cd8ab9906f5fb","5498.9"
